IdLink,channel_name,active,LinkID,SrcDetectorId,SrcLatitude,SrcLongitude,DestDetectorId,DestLatitude,DestLongitude,LinkName,RouteDirectionName,SrcChannelId,DestChannelId,LineDistance_m,last_poll_time,LinkId,node_index
245,Papineau-Henri-Bourassa,1,LPa_15-17,15,"45,5702683333333","-73,6588066666667",17,"45,5564283333333","-73,626345",Papineau: Henri-Bourassa a Barnabe-Larocque,S,16,18,2937,2019-07-02 18:44:57,LPa_15-17,102
246,Saint-Michel-Industriel,1,LCP_10-17,10,"45,5760283333333","-73,6364616666667",17,"45,5564283333333","-73,626345",Charland/Papineau: Saint-Michel a Barnabe-Larocque,S,11,18,2230,2019-07-02 18:44:59,LCP_10-17,13
247,Saint-Denis-Roy,1,LSD_50-31,50,"45,5193333333333","-73,5725833333333",31,"45,52625","-73,5878883333333",Saint-Denis: Roy a Saint-Joseph,N,110,44,1419,2019-07-02 18:44:57,LSD_50-31,184
248,Saint-Denis-Saint-Joseph,1,LSD_31-50,31,"45,52625","-73,5878883333333",50,"45,5193333333333","-73,5725833333333",Saint-Denis: Saint-Joseph a Roy,S,44,110,1419,2019-07-02 18:44:57,LSD_31-50,179
249,Saint-Denis-Sherbrooke,1,LSD_30-50,30,"45,517","-73,567445",50,"45,5193333333333","-73,5725833333333",Saint-Denis: Sherbrooke a Roy,N,43,110,476,2019-07-02 18:44:57,LSD_30-50,175
250,Saint-Denis-Roy,1,LSD_50-30,50,"45,5193333333333","-73,5725833333333",30,"45,517","-73,567445",Saint-Denis: Roy a Sherbrooke,S,110,43,476,2019-07-02 18:44:57,LSD_50-30,183
266,Saint-Denis-Sherbrooke,1,LSD_30-89,30,"45,517","-73,567445",89,"45,5159166666667","-73,5652333333333",Saint-Denis: Sherbrooke a Ontario **,S,43,103,211,2019-07-02 18:44:57,LSD_30-89,176
267,Ontario-St-Denis**,1,LSD_89-87,89,"45,5159166666667","-73,5652333333333",87,"45,5144166666667","-73,5619",Saint-Denis: Ontario a Maisonneuve **,S,103,101,308,2019-07-02 18:45:00,LSD_89-87,186
268,Maisonneuve-St-Denis **,1,LSD_87-92,87,"45,5144166666667","-73,5619",92,"45,51375","-73,5604333333333",St-Denis: Maisonneuve a Ste-Catherine **,S,101,106,137,2019-07-02 18:45:01,LSD_87-92,185
269,Ste-Catherine-St-Denis **,1,LSD_92-29,92,"45,51375","-73,5604333333333",29,"45,5127216666667","-73,5582216666667",St-Denis: Ste-Catherine a Rene-Levesque **,S,106,42,201,2018-07-19 14:35:55,LSD_92-29,187
270,Ontario-St-Hubert **,1,LSH_90-96,90,"45,5178833333333","-73,5642666666667",96,"45,51896","-73,56655",St-Hubert: Ontario a Sherbrooke **,N,104,117,214,2019-07-02 18:45:00,LSH_90-96,190
271,St-Hubert-Sherbrooke **,1,LSH_96-90,96,"45,51896","-73,56655",90,"45,5178833333333","-73,5642666666667",St-Hubert: Sherbrooke a Ontario **,S,117,104,214,2019-07-02 18:44:57,LSH_96-90,193
272,Saint-Denis-Sherbrooke,1,LSh_30-96,30,"45,517","-73,567445",96,"45,51896","-73,56655",Sherbrooke: Saint-Denis a St-Hubert **,E,43,117,229,2019-07-02 18:44:57,LSh_30-96,241
273,St-Hubert-Sherbrooke **,1,LSh_96-30,96,"45,51896","-73,56655",30,"45,517","-73,567445",Sherbrooke: St-Hubert a Saint-Denis **,O,117,43,229,2019-07-02 18:44:57,LSh_96-30,252
274,Sherbrooke-Parc-Bleury,1,LBl_24-68,24,"45,5083616666667","-73,5712783333333",68,"45,5074833333333","-73,5695",Bleury: Sherbrooke a Président-Kennedy **,S,38,82,170,2018-09-26 06:07:02,LBl_24-68,6
275,Président-Kennedy-Bleury **,1,LBl_68-69,68,"45,5074833333333","-73,5695",69,"45,5063","-73,5669333333333",Bleury: Président-Kennedy a Ste-Catherine **,S,82,83,239,2019-07-02 18:44:59,LBl_68-69,7
276,Ste-Catherine-Bleury **,1,LBl_69-26,69,"45,5063","-73,5669333333333",26,"45,50525","-73,5646933333333",Bleury: St-Catherine a Rene-Levesque **,S,83,37,204,2019-07-02 18:45:02,LBl_69-26,8
277,Sherbrooke-Parc-Bleury,1,LSh_24-67,24,"45,5083616666667","-73,5712783333333",67,"45,5061333333333","-73,5726333333333",Sherbrooke: Bleury a Aylmer **,O,38,81,269,2018-09-26 06:07:02,LSh_24-67,237
278,Aylmer-Sherbrooke **,1,LSh_67-24,67,"45,5061333333333","-73,5726333333333",24,"45,5083616666667","-73,5712783333333",Sherbrooke: Aylmer a Bleury **,E,81,38,269,2019-07-02 18:45:00,LSh_67-24,243
279,Saint-Denis-Sherbrooke,1,LSh_30-95,30,"45,517","-73,567445",95,"45,5158333333333","-73,5679666666667",Sherbrooke: Saint-Denis a Sanguinet,O,43,109,136,2019-07-02 18:44:57,LSh_30-95,240
280,Sherbrooke-Sanguinet **,1,LSh_95-78,95,"45,5158333333333","-73,5679666666667",78,"45,5125166666667","-73,5694333333333",Sherbrooke: Sanguinet a St-Laurent,O,109,92,385,2019-07-02 18:44:56,LSh_95-78,251
281,Sherbrooke-St-Laurent **,1,LSh_78-79,78,"45,5125166666667","-73,5694333333333",79,"45,5110833333333","-73,57005",Sherbrooke: St-Laurent a St-Urbain,O,92,93,167,2019-07-02 18:44:13,LSh_78-79,246
282,Sherbrooke-St-Urbain **,1,LSh_79-72,79,"45,5110833333333","-73,57005",72,"45,5093333333333","-73,5708166666667",Sherbrooke: St-Urbain a Jeanne-Mance,O,93,86,204,2019-07-02 18:45:01,LSh_79-72,248
283,Sherbrooke-Jeanne-Mance **,1,LSh_72-24,72,"45,5093333333333","-73,5708166666667",24,"45,5083616666667","-73,5712783333333",Sherbrooke: Jeanne-Mance a Bleury,O,86,38,114,2019-07-02 18:44:59,LSh_72-24,244
284,Sherbrooke-Parc-Bleury,1,LSh_24-72,24,"45,5083616666667","-73,5712783333333",72,"45,5093333333333","-73,5708166666667",Sherbrooke: Bleury a Jeanne-Mance,E,38,86,114,2018-09-26 06:07:02,LSh_24-72,238
285,Sherbrooke-Jeanne-Mance **,1,LSh_72-79,72,"45,5093333333333","-73,5708166666667",79,"45,5110833333333","-73,57005",Sherbrooke: Jeanne-Mance a St-Urbain,E,86,93,204,2019-07-02 18:44:59,LSh_72-79,245
286,Sherbrooke-St-Urbain **,1,LSh_79-78,79,"45,5110833333333","-73,57005",78,"45,5125166666667","-73,5694333333333",Sherbrooke: St-Urbain a St-Laurent,E,93,92,167,2019-07-02 18:45:01,LSh_79-78,249
287,Sherbrooke-St-Laurent **,1,LSh_78-95,78,"45,5125166666667","-73,5694333333333",95,"45,5158333333333","-73,5679666666667",Sherbrooke: St-Laurent a Sanguinet,E,92,109,385,2019-07-02 18:44:13,LSh_78-95,247
288,Sherbrooke-Sanguinet **,1,LSh_95-30,95,"45,5158333333333","-73,5679666666667",30,"45,517","-73,567445",Sherbrooke: Sanguinet a Saint-Denis,E,109,43,136,2019-07-02 18:44:56,LSh_95-30,250
289,Saint-Denis-Rene-Levesque,1,LRL_29-84,29,"45,5127216666667","-73,5582216666667",84,"45,5117333333333","-73,5590666666667",René-Lévesque: Saint-Denis a Sanguinet,O,42,98,128,2019-07-02 18:45:01,LRL_29-84,139
290,René-Lévesque-Sanguinet **,1,LRL_84-82,84,"45,5117333333333","-73,5590666666667",82,"45,50885","-73,5615666666667",René-Lévesque: Sanguinet a St-Laurent,O,98,96,375,2019-07-02 18:44:56,LRL_84-82,156
292,René-Lévesque-St-Laurent **,1,LRL_82-83,82,"45,50885","-73,5615666666667",83,"45,5077166666667","-73,5625833333333",René-Lévesque: St-Laurent a St-Urbain,O,96,97,148,2019-07-02 18:44:57,LRL_82-83,151
293,René-Lévesque-St-Urbain **,1,LRL_83-26,83,"45,5077166666667","-73,5625833333333",26,"45,50525","-73,5646933333333",René-Lévesque: St-Urbain a Bleury,O,97,37,320,2019-07-02 18:44:56,LRL_83-26,153
294,Rene-Levesque-Bleury,1,LRL_26-83,26,"45,50525","-73,5646933333333",83,"45,5077166666667","-73,5625833333333",René-Lévesque: Bleury a St-Urbain,E,37,97,320,2019-07-02 18:44:58,LRL_26-83,135
295,René-Lévesque-St-Urbain **,1,LRL_83-82,83,"45,5077166666667","-73,5625833333333",82,"45,50885","-73,5615666666667",René-Lévesque: St-Urbain a St-Laurent,E,97,96,148,2019-07-02 18:44:56,LRL_83-82,154
296,René-Lévesque-St-Laurent **,1,LRL_82-84,82,"45,50885","-73,5615666666667",84,"45,5117333333333","-73,5590666666667",René-Lévesque: St-Laurent a Sanguinet,E,96,98,375,2019-07-02 18:44:57,LRL_82-84,152
297,René-Lévesque-Sanguinet **,1,LRL_84-29,84,"45,5117333333333","-73,5590666666667",29,"45,5127216666667","-73,5582216666667",René-Lévesque: Sanguinet a Saint-Denis,E,98,42,128,2019-07-02 18:44:56,LRL_84-29,155
298,Rene-Levesque-Bleury,1,LRL_26-80,26,"45,50525","-73,5646933333333",80,"45,5030333333333","-73,5663833333333",René-Lévesque: Bleury a Beaver Hall,O,37,94,280,2019-07-02 18:44:58,LRL_26-80,134
299,Beaver Hall-René-Lévesque **,1,LRL_80-63,80,"45,5030333333333","-73,5663833333333",63,"45,5019166666667","-73,56736",René-Lévesque: Beaver Hall a Robert-Bourassa,O,94,68,145,2019-07-02 18:44:40,LRL_80-63,146
300,René-Lévesque-Robert-Bourassa,1,LRL_63-80,63,"45,5019166666667","-73,56736",80,"45,5030333333333","-73,5663833333333",René-Lévesque: Robert-Bourassa a Beaver Hall,E,68,94,145,2019-07-02 18:45:01,LRL_63-80,144
301,Beaver Hall-René-Lévesque **,1,LRL_80-26,80,"45,5030333333333","-73,5663833333333",26,"45,50525","-73,5646933333333",René-Lévesque: Beaver Hall a Bleury,E,94,37,280,2019-07-02 18:44:40,LRL_80-26,145
302,Papineau-René-Lévesque,1,LRL_37-81,37,"45,5214166666667","-73,549805",81,"45,5144","-73,55665",René-Lévesque: Papineau a St-Hubert,O,49,95,945,2019-07-02 18:44:59,LRL_37-81,142
303,René-Lévesque-St-Hubert **,1,LRL_81-29,81,"45,5144","-73,55665",29,"45,5127216666667","-73,5582216666667",René-Lévesque: St-Hubert a Saint-Denis,O,95,42,223,2019-07-02 18:44:59,LRL_81-29,148
304,Saint-Denis-Rene-Levesque,1,LRL_29-81,29,"45,5127216666667","-73,5582216666667",81,"45,5144","-73,55665",René-Lévesque: Saint-Denis a St-Hubert,E,42,95,223,2019-07-02 18:45:01,LRL_29-81,138
305,René-Lévesque-St-Hubert **,1,LRL_81-37,81,"45,5144","-73,55665",37,"45,5214166666667","-73,549805",René-Lévesque: St-Hubert a Papineau,E,95,49,945,2019-07-02 18:44:59,LRL_81-37,149
306,Pie-IX-56e,1,LPI_45-10,45,"45,582805","-73,6282216666667",10,"45,5760283333333","-73,6364616666667",Pie-IX/Industriel: 56e a Saint-Michel,O,58,11,989,2018-09-26 06:07:00,LPI_45-10,96
310,Papineau-Barnabe-Larocque,1,LPa_17-15,17,"45,5564283333333","-73,626345",15,"45,5702683333333","-73,6588066666667",Papineau: Barnabe-Larocque a Henri-Bourassa,N,18,16,2937,2019-07-02 18:45:00,LPa_17-15,105
311,Beaver Hall-René-Lévesque **,1,LRL_80-81,80,"45,5030333333333","-73,5663833333333",81,"45,5144","-73,55665",René-Lévesque: Beaver Hall à St-Hubert,E,94,95,1474,2019-07-02 18:44:40,LRL_80-81,147
312,René-Lévesque-St-Hubert **,1,LRL_81-80,81,"45,5144","-73,55665",80,"45,5030333333333","-73,5663833333333",René-Lévesque: St-Hubert à Beaver Hall,O,95,94,1474,2019-07-02 18:44:59,LRL_81-80,150
313,Pie-IX-Ste-Catherine,1,LPi_48-47,48,"45,5484716666667","-73,5355",47,"45,5642216666667","-73,5847216666667",Pie-IX: Ste-Catherine a Poste detection,N,60,70,4213,2019-07-02 18:44:57,LPi_48-47,125
314,Papineau-René-Lévesque,1,LRL_37-1B,37,"45,5214166666667","-73,549805",1B,"45,52294","-73,54624",René-Lévesque : Papineau à Notre-Dame,E,49,123,325,2019-07-02 18:44:59,LRL_37-1B,140
316,Lorimier-Notre-Dame-Viger,1,LLo_1B-40,1B,"45,52294","-73,54624",40,"45,53075","-73,563055",Lorimier : Notre-Dame à Sherbrooke,N,123,53,1580,2019-07-02 18:45:00,LLo_1B-40,35
317,Lorimier-Notre-Dame-Viger,1,LND_1B-98,1B,"45,52294","-73,54624",98,"45,52613","-73,54534",Notre-Dame : Lorimier à Fullum,E,123,120,362,2019-07-02 18:45:00,LND_1B-98,46
318,Fullum-Notre-Dame,1,LND_98-1B,98,"45,52613","-73,54534",1B,"45,52294","-73,54624",Notre-Dame : Fullum à Lorimier,O,120,123,362,2019-07-02 18:44:58,LND_98-1B,85
319,Fullum-Notre-Dame,1,LND_98-1A,98,"45,52613","-73,54534",1A,"45,52914","-73,54433",Notre-Dame : Fullum à Frontenac-Iberville,E,120,122,344,2019-07-02 18:44:58,LND_98-1A,84
320,Frontenac-Iberville-Notre-Dame,1,LND_1A-98,1A,"45,52914","-73,54433",98,"45,52613","-73,54534",Notre-Dame : Frontenac-Iberville à Fullum,O,122,120,344,2019-07-02 18:44:59,LND_1A-98,45
321,Bourbonière-Notre-Dame,1,LND_1C-48,1C,"45,5454","-73,53491",48,"45,5484716666667","-73,5355",Notre-Dame : Bourbonière à Ste-Catherine,N,135,60,459,2019-07-02 18:44:59,LND_1C-48,49
322,Pie-IX-Ste-Catherine,1,LPi_48-1C,48,"45,5484716666667","-73,5355",1C,"45,5454","-73,53491",Pie-IX : Ste-Catherine à Bourboniere,S,60,135,450,2019-07-02 18:44:57,LPi_48-1C,124
323,Frontenac-Iberville-Notre-Dame,1,LND_1A-1M,1A,"45,52914","-73,54433",1M,"45,53643","-73,54156",Notre-Dame : Frontenac-Iberville à Alphonse-de-Roy,E,122,134,844,2019-07-02 18:44:59,LND_1A-1M,44
324,"Notre-Dame-Alphonse-D,-Roy",1,LND_1M-1A,1M,"45,53643","-73,54156",1A,"45,52914","-73,54433",Notre-Dame : Alphonse-de-Roy à Frontenac-Iberville,O,134,122,849,2019-07-02 18:45:02,LND_1M-1A,68
325,"Notre-Dame-Alphonse-D,-Roy",1,LND_1M-1D,1M,"45,53643","-73,54156",1D,"45,54057","-73,53809",Notre-Dame : Alphonse-de-Roy à Davidson,E,134,130,534,2019-07-02 18:45:02,LND_1M-1D,70
326,Davidson-Notre-Dame,1,LND_1D-1M,1D,"45,54057","-73,53809",1M,"45,53643","-73,54156",Notre-Dame : Davidson à Alphonse-de-Roy,O,130,134,534,2019-07-02 18:44:59,LND_1D-1M,51
327,Davidson-Notre-Dame,1,LND_1D-1C,1D,"45,54057","-73,53809",1C,"45,5454","-73,53491",Notre-Dame : Davidson à Bourbonière,E,130,135,591,2019-07-02 18:44:59,LND_1D-1C,50
328,Bourbonière-Notre-Dame,1,LND_1C-1D,1C,"45,5454","-73,53491",1D,"45,54057","-73,53809",Notre-Dame : Bourbonière à Davidson,O,135,130,591,2019-07-02 18:44:59,LND_1C-1D,47
329,Bourbonière-Notre-Dame,1,LND_1C-1E,1C,"45,5454","-73,53491",1E,"45,55003","-73,53208",Notre-Dame : Bourbonière à Letourneux,E,135,125,560,2019-07-02 18:44:59,LND_1C-1E,48
330,Notre-Dame-Letourneux,1,LND_1E-1C,1E,"45,55003","-73,53208",1C,"45,5454","-73,53491",Notre-Dame : Letourneux à Bourbonière,O,125,135,560,2019-07-02 18:44:53,LND_1E-1C,53
331,Notre-Dame-Letourneux,1,LND_1E-1G,1E,"45,55003","-73,53208",1G,"45,554","-73,52961",Notre-Dame : Letourneux à Sicard,E,125,126,482,2019-07-02 18:44:53,LND_1E-1G,54
332,Notre-Dame-Sicard,1,LND_1G-1E,1G,"45,554","-73,52961",1E,"45,55003","-73,53208",Notre-Dame : Sicard à Letourneux,O,126,125,482,2019-07-02 18:44:57,LND_1G-1E,58
333,Notre-Dame-Sicard,1,LND_1G-1F,1G,"45,554","-73,52961",1F,"45,5587","-73,5267",Notre-Dame : Sicard à Ste-Catherine,E,126,127,570,2019-07-02 18:44:57,LND_1G-1F,59
334,Notre-Dame-Ste-Catherine,1,LND_1F-1G,1F,"45,5587","-73,5267",1G,"45,554","-73,52961",Notre-Dame : Ste-Catherine à Sicard,O,127,126,570,2019-07-02 18:44:58,LND_1F-1G,56
335,Notre-Dame-Ste-Catherine,1,LND_1F-1I,1F,"45,5587","-73,5267",1I,"45,56499","-73,52362",Notre-Dame : Ste-Catherine à Dickson,E,127,129,739,2019-07-02 18:44:58,LND_1F-1I,57
336,Notre-Dame-Dickson,1,LND_1I-1F,1I,"45,56499","-73,52362",1F,"45,5587","-73,5267",Notre-Dame : Dickson à Ste-Catherine,O,129,127,739,2019-07-02 18:44:58,LND_1I-1F,62
337,Notre-Dame-Dickson,1,LND_1I-1H,1I,"45,56499","-73,52362",1H,"45,56795","-73,52253",Notre-Dame : Dickson à Bossuet,E,129,128,340,2019-07-02 18:44:58,LND_1I-1H,63
338,Notre-Dame-Bossuet,1,LND_1H-1I,1H,"45,56795","-73,52253",1I,"45,56499","-73,52362",Notre-Dame : Bossuet à Dickson,O,128,129,340,2019-07-02 18:44:57,LND_1H-1I,60
339,Notre-Dame-Bossuet,1,LND_1H-1K,1H,"45,56795","-73,52253",1K,"45,57261","-73,51924",Notre-Dame : Bossuet à 6363,E,128,132,577,2019-07-02 18:44:57,LND_1H-1K,61
340,6363 Notre-Dame,1,LND_1K-1H,1K,"45,57261","-73,51924",1H,"45,56795","-73,52253",Notre-Dame : 6363 à Bossuet,O,132,128,578,2019-07-02 18:45:00,LND_1K-1H,66
341,6363 Notre-Dame,1,LND_1K-1J,1K,"45,57261","-73,51924",1J,"45,5791","-73,51356",Notre-Dame : 6363 à Beauclerk,E,132,131,850,2019-07-02 18:45:00,LND_1K-1J,67
342,Notre-Dame-Beauclerk,1,LND_1J-1K,1J,"45,5791","-73,51356",1K,"45,57261","-73,51924",Notre-Dame : Beauclerk à 6363,O,131,132,846,2019-07-02 18:44:59,LND_1J-1K,64
343,Notre-Dame-Beauclerk,1,LND_1J-52,1J,"45,5791","-73,51356",52,"45,5808883333333","-73,5119433333333",Notre-Dame : Beauclerk à Futailles,E,131,62,236,2019-07-02 18:44:59,LND_1J-52,65
344,Futaille-Notre-Dame,1,LND_52-1J,52,"45,5808883333333","-73,5119433333333",1J,"45,5791","-73,51356",Notre-Dame : Futaille à Beauclerk,O,62,131,236,2019-07-02 18:45:00,LND_52-1J,72
348,Notre-Dame-Dickson,1,LDi_1I-1L,1I,"45,56499","-73,52362",1L,"45,56727","-73,5306",Dickson : Notre-Dame à Ontario,N,129,133,600,2019-07-02 18:44:58,LDi_1I-1L,15
349,Ontario-Dickson,1,LDi_1L-1I,1L,"45,56727","-73,5306",1I,"45,56499","-73,52362",Dickson : Ontario à Notre-Dame,S,133,129,600,2019-07-02 18:44:58,LDi_1L-1I,16
350,Ontario-Dickson,1,LDi_1L-99,1L,"45,56727","-73,5306",99,"45,56989","-73,53814",Dickson : Ontario à Hochelaga,N,133,121,645,2019-07-02 18:44:58,LDi_1L-99,17
351,Hochelaga-Dickson,1,LDi_99-1L,99,"45,56989","-73,53814",1L,"45,56727","-73,5306",Dickson : Hochelaga à Ontario,S,121,133,655,2019-07-02 18:45:00,LDi_99-1L,18
366,Fullum-Notre-Dame,1,LRL_98-37,98,"45,52613","-73,54534",37,"45,5214166666667","-73,549805",René-Lévesque : Fullum à Papineau,O,120,49,629,2019-07-02 18:44:58,LRL_98-37,157
367,Notre-Dame-Letourneux,1,LND_1E-1M,1E,"45,55003","-73,53208",1M,"45,53643","-73,54156","Notre-Dame : Letourneux à Alphonse-D,-Roy",O,125,134,1683,2019-07-02 18:44:53,LND_1E-1M,55
368,"Notre-Dame-Alphonse-D,-Roy",1,LND_1M-1B,1M,"45,53643","-73,54156",1B,"45,52294","-73,54624","Notre-Dame : Alphonse-D,-Roy à Lorimier",O,134,123,1544,2019-07-02 18:45:02,LND_1M-1B,69
369,Notre-Dame-Letourneux,1,LND_1E-1B,1E,"45,55003","-73,53208",1B,"45,52294","-73,54624",Notre-Dame : Letourneux à Lorimier,O,125,123,3232,2019-07-02 18:44:53,LND_1E-1B,52
